YYYY,MM,DD,HH,WSPD,BAR,ATMP,WTMP,Timestamp (Days),Timestamp (Hours)
2005,1,7,8,3.2,1018.8,20.4,19.9,6.333333333,152
2005,1,7,9,4.1,1018.9,19.9,19.9,6.375,153
2005,1,7,10,4.5,1018.8,20.3,19.9,6.416666667,154
2005,1,7,11,3.2,1019,20.4,19.9,6.458333333,155
2005,1,7,12,3.8,1019.5,20.3,19.9,6.5,156
2005,1,7,13,5.6,1020.4,19.9,19.9,6.541666667,157
2005,1,7,14,6.4,1021.1,19.7,19.9,6.583333333,158
2005,1,7,15,7.1,1021.8,19.1,20,6.625,159
2005,1,7,16,4.8,1022.4,19.5,20.3,6.666666667,160
2005,1,7,17,6,1022,19.5,20.4,6.708333333,161
2005,1,7,18,5.9,1021.2,19.5,20.4,6.75,162
2005,1,7,19,6.2,1020.5,19.6,20.4,6.791666667,163
2005,1,7,20,5.1,1020.4,19.9,20.4,6.833333333,164
2005,1,7,21,4.8,1020.1,20.6,20.4,6.875,165
2005,1,7,22,3.5,1020.5,20.6,20.5,6.916666667,166
2005,1,7,23,4.3,1021,20.6,20.4,6.958333333,167
2005,1,8,0,4.8,1021.1,20.6,20.4,7,168
2005,1,8,1,4.5,1021.2,20.4,20.4,7.041666667,169
2005,1,8,2,4,1022,20.6,20.4,7.083333333,170
2005,1,8,3,3.2,1022.5,20.6,20.4,7.125,171
2005,1,8,4,4.1,1022.6,21,20.4,7.166666667,172
2005,1,8,5,4.4,1022.1,20.7,20.4,7.208333333,173
2005,1,8,6,3.4,1021.9,20.6,20.3,7.25,174
2005,1,8,7,2.7,1021.9,20.6,20.3,7.291666667,175
2005,1,8,8,1.7,1022.6,20.5,20.3,7.333333333,176
2005,1,8,9,0.9,1022.6,20.4,20.1,7.375,177
2005,1,8,10,2.8,1022.7,20.3,19.9,7.416666667,178
2005,1,8,11,4,1023.4,19.9,19.9,7.458333333,179
2005,1,8,12,5.2,1023.6,19.8,20,7.5,180
2005,1,8,13,5.3,1023.8,20.2,20.3,7.541666667,181
2005,1,8,14,6.8,1024.2,19.9,20.3,7.583333333,182
2005,1,8,15,5.5,1025,19.8,20.3,7.625,183
2005,1,8,16,4.7,1025.4,21.1,20.4,7.666666667,184
2005,1,8,17,4.9,1025.2,21.1,20.4,7.708333333,185
2005,1,8,18,4,1024.6,21.1,20.6,7.75,186
2005,1,8,19,3.7,1024.1,21.2,20.7,7.791666667,187
2005,1,8,20,3.9,1023.6,21.2,20.7,7.833333333,188
2005,1,8,21,4,1023.5,21.2,20.7,7.875,189
2005,1,8,22,2.7,1023.7,21.2,20.7,7.916666667,190
2005,1,8,23,3,1024.2,20.8,20.6,7.958333333,191
2005,1,9,0,2.1,1024.2,20.7,20.6,8,192
2005,1,9,1,0.9,1025,20.7,20.6,8.041666667,193
2005,1,9,2,1,1025.2,20.6,20.6,8.083333333,194
2005,1,9,3,1.8,1025.6,20.6,20.4,8.125,195
2005,1,9,4,2,1025.5,20.4,20.4,8.166666667,196
2005,1,9,5,3.2,1025.2,20.3,20.4,8.208333333,197
2005,1,9,6,2.2,1025.2,19.8,20.4,8.25,198
2005,1,9,7,1,1025.1,19.8,20.4,8.291666667,199
2005,1,9,8,1.6,1025.1,19.5,20.4,8.333333333,200
2005,1,9,9,1.7,1024.4,19.2,20.4,8.375,201
2005,1,9,10,0.5,1024.9,19.1,20.4,8.416666667,202
2005,1,9,11,1.2,1025.1,19.1,20.4,8.458333333,203
2005,1,9,12,1.1,1025.4,18.8,20.4,8.5,204
2005,1,9,13,1.1,1025.9,18.5,20.4,8.541666667,205
2005,1,9,14,1.7,1026.7,18.3,20.4,8.583333333,206
2005,1,9,15,2.2,1027.3,18.8,20.4,8.625,207
2005,1,9,16,2.4,1027.4,18.3,20.4,8.666666667,208
2005,1,9,17,3.4,1027.1,18.4,20.4,8.708333333,209
2005,1,9,18,2.9,1025.9,18.8,20.6,8.75,210
2005,1,9,19,1.6,1025.2,19.5,21.1,8.791666667,211
2005,1,9,20,2,1024.7,19.8,21.2,8.833333333,212
2005,1,9,21,0.7,1024.5,20.4,21.4,8.875,213
2005,1,9,22,0.8,1024.9,20.7,21.4,8.916666667,214
2005,1,9,23,2.3,1025.1,19.9,21.2,8.958333333,215
2005,1,10,0,2.5,1025.2,19.6,20.7,9,216
2005,1,10,1,2.1,1025.7,19.6,20.6,9.041666667,217
2005,1,10,2,2.6,1025.8,19.1,20.6,9.083333333,218
2005,1,10,3,2.9,1025.7,18.8,20.4,9.125,219
2005,1,10,4,2.8,1025.7,19,20.4,9.166666667,220
2005,1,10,5,2.3,1025.3,19.1,20.6,9.208333333,221
2005,1,10,6,2.4,1025.2,19.1,20.6,9.25,222
2005,1,10,7,4.8,1025.1,19.6,20.6,9.291666667,223
2005,1,10,8,4.8,1025.1,19.5,20.3,9.333333333,224
2005,1,10,9,3.4,1024.8,19,20.3,9.375,225
2005,1,10,10,4,1024.2,19.1,19.9,9.416666667,226
2005,1,10,11,2.3,1024.2,19,19.9,9.458333333,227
2005,1,10,12,3.3,1025,19,20,9.5,228
2005,1,10,13,4.1,1025.6,18.2,20.3,9.541666667,229
2005,1,10,14,2.2,1025.9,18.1,20.4,9.583333333,230
2005,1,10,15,2,1026.7,18.3,20.4,9.625,231
2005,1,10,16,4.5,1026.8,18.8,20.4,9.666666667,232
2005,1,10,17,2.3,1026.3,18.9,20.4,9.708333333,233
2005,1,10,18,2.8,1025.2,18.8,20.4,9.75,234
2005,1,10,19,4,1023.7,18.8,20.6,9.791666667,235
2005,1,10,20,4.4,1022.8,18.8,20.6,9.833333333,236
2005,1,10,21,3.3,1022.6,18.7,20.6,9.875,237
2005,1,10,22,2.7,1022.1,19.1,20.6,9.916666667,238
2005,1,10,23,2.5,1022,18.9,20.6,9.958333333,239
2005,1,11,0,2.7,1022,18.8,20.4,10,240
2005,1,11,1,2.2,1022.1,18.6,20.4,10.04166667,241
2005,1,11,2,1.8,1022.6,18.4,20.4,10.08333333,242
2005,1,11,3,1.6,1022.8,18.3,20.4,10.125,243
2005,1,11,4,2.6,1022.8,18.4,20.3,10.16666667,244
2005,1,11,5,1.9,1022.7,18.3,20.3,10.20833333,245
2005,1,11,6,1.5,1022.6,18.4,19.9,10.25,246
2005,1,11,7,2.1,1022.1,18.5,19.9,10.29166667,247
2005,1,11,8,2.3,1022,18.5,19.9,10.33333333,248
2005,1,11,9,3,1021.9,18.5,19.9,10.375,249
2005,1,11,10,4.8,1021.9,18.7,19.8,10.41666667,250
2005,1,11,11,6.1,1021,18.1,19.8,10.45833333,251
2005,1,11,12,4.5,1022,18.5,19.8,10.5,252
2005,1,11,13,4.7,1022,18.8,19.8,10.54166667,253
2005,1,11,14,4.8,1022.7,18.7,19.8,10.58333333,254
2005,1,11,15,4.1,1022.9,18,20.3,10.625,255
2005,1,11,16,2,1023.7,18.4,20.4,10.66666667,256
2005,1,11,17,1.6,1023,18.7,20.4,10.70833333,257
2005,1,11,18,2.6,1022.1,18.7,20.4,10.75,258
2005,1,11,19,4.6,1020.5,18.6,20.6,10.79166667,259
2005,1,11,20,3.5,1020.4,18.5,20.6,10.83333333,260
2005,1,11,21,3.9,1020.4,18.3,20.6,10.875,261
2005,1,11,22,4.1,1020.4,18.7,20.6,10.91666667,262
2005,1,11,23,4.6,1019.7,18.8,20.6,10.95833333,263
2005,1,12,0,3.7,1019.6,19.1,20.6,11,264
2005,1,12,1,2.8,1020.4,19.6,20.4,11.04166667,265
2005,1,12,2,3.4,1020.4,19.7,20.4,11.08333333,266
2005,1,12,3,3.1,1020.5,19.8,20.4,11.125,267
2005,1,12,4,4.2,1020.4,19.8,20.4,11.16666667,268
2005,1,12,5,4.3,1020.4,19.5,20.4,11.20833333,269
2005,1,12,6,4,1019.7,19.6,20.4,11.25,270
2005,1,12,7,4.2,1019.3,19.5,20.3,11.29166667,271
2005,1,12,8,3.4,1019,19.6,20.3,11.33333333,272
2005,1,12,9,3.6,1019,19.6,20.3,11.375,273
2005,1,12,10,4.7,1019,19.7,20.3,11.41666667,274
2005,1,12,11,5,1019,19.8,20.3,11.45833333,275
2005,1,12,12,5.2,1019.1,19.9,20.3,11.5,276
2005,1,12,13,5.8,1019.2,20,20.3,11.54166667,277
2005,1,12,14,6.5,1019.5,20.3,20.4,11.58333333,278
2005,1,12,15,7.4,1019.4,20.4,20.4,11.625,279
2005,1,12,16,6.8,1019.5,20.6,20.4,11.66666667,280
2005,1,12,17,6.7,1019,20.6,20.6,11.70833333,281
2005,1,12,18,7.4,1018,20.7,20.6,11.75,282
2005,1,12,19,7,1017.3,20.7,20.7,11.79166667,283
2005,1,12,20,7.3,1017.2,20.8,20.7,11.83333333,284
2005,1,12,21,6.7,1017.3,20.7,20.7,11.875,285
2005,1,12,22,6.6,1017.3,20.7,20.7,11.91666667,286
2005,1,12,23,5.7,1017.4,20.7,20.7,11.95833333,287
2005,1,13,1,5.6,1017.4,20.7,20.6,12.04166667,289
2005,1,13,2,5.6,1017.4,21.1,20.6,12.08333333,290
2005,1,13,3,5.2,1017.2,21.1,20.6,12.125,291
2005,1,13,4,4.7,1017.4,21.1,20.6,12.16666667,292
2005,1,13,5,4.8,1016.7,20.7,20.6,12.20833333,293
2005,1,13,6,5.6,1016.4,20.6,20.6,12.25,294
2005,1,13,7,6.8,1016,20.8,20.7,12.29166667,295
2005,1,13,8,8,1015.3,20.7,20.7,12.33333333,296
2005,1,13,9,7.6,1015,20.9,20.6,12.375,297
2005,1,13,10,8,1015,21.1,20.6,12.41666667,298
2005,1,13,11,7.8,1015.5,21.1,20.6,12.45833333,299
2005,1,13,12,8.4,1015.3,21.1,20.6,12.5,300
2005,1,13,13,8.3,1015.5,21.1,20.6,12.54166667,301
2005,1,13,14,8.1,1015.7,21.1,20.6,12.58333333,302
2005,1,13,15,9.1,1015.9,21.2,20.6,12.625,303
2005,1,13,16,10.3,1015.3,21.2,20.6,12.66666667,304
2005,1,13,17,8.8,1015,21.1,20.6,12.70833333,305
2005,1,13,18,9.4,1013.8,21.5,20.6,12.75,306
2005,1,13,19,10.5,1012.5,21.9,20.6,12.79166667,307
2005,1,13,20,11.4,1011.6,21.8,20.6,12.83333333,308
2005,1,13,21,11.4,1011.5,21.9,20.6,12.875,309
2005,1,13,22,11.3,1011.1,21.9,20.6,12.91666667,310
2005,1,13,23,11.5,1011.4,21.9,20.6,12.95833333,311
2005,1,14,0,11.4,1011.3,22,20.6,13,312
2005,1,14,1,9.3,1012.3,21.9,20.6,13.04166667,313
2005,1,14,2,10.5,1012.2,21.9,20.4,13.08333333,314
2005,1,14,3,8.7,1012.7,20.6,20.4,13.125,315
2005,1,14,4,8,1013.3,20.5,20.4,13.16666667,316
2005,1,14,5,14.9,1013.8,17,20.4,13.20833333,317
2005,1,14,6,13.6,1014.7,17.2,20.4,13.25,318
2005,1,14,7,10.7,1015.4,17.3,20.4,13.29166667,319
2005,1,14,8,6.6,1016,17.3,20.4,13.33333333,320
2005,1,14,9,7.4,1015.6,17.9,20.4,13.375,321
2005,1,14,10,7.2,1015.9,17.5,20.4,13.41666667,322
2005,1,14,11,6.4,1016.1,17.5,20.4,13.45833333,323
2005,1,14,12,7,1015.7,17.5,20.3,13.5,324
2005,1,14,13,6.2,1016.5,17.6,20.3,13.54166667,325
2005,1,14,14,8.5,1019.5,16.9,20.3,13.58333333,326
2005,1,14,15,9.3,1020.4,16.5,20.3,13.625,327
2005,1,14,16,8.7,1021.1,16.2,20.3,13.66666667,328
2005,1,14,17,8.4,1021.2,16.7,20.3,13.70833333,329
2005,1,14,18,7.8,1021.2,16.8,20.3,13.75,330
2005,1,14,19,8.3,1020.5,16.6,20.3,13.79166667,331
2005,1,14,20,8.4,1020.5,16.5,20.3,13.83333333,332
2005,1,14,21,7.8,1020.5,16.6,20.3,13.875,333
2005,1,14,22,5.8,1021.2,16.7,20.3,13.91666667,334
2005,1,14,23,7.6,1021.4,16.7,20.3,13.95833333,335
2005,1,15,0,8,1021.9,16.3,20.3,14,336
2005,1,15,1,7.8,1023.2,15.8,20.3,14.04166667,337
2005,1,15,2,8.3,1024.1,15.6,20.3,14.08333333,338
2005,1,15,3,8.7,1024.2,15.8,20.3,14.125,339
2005,1,15,4,9.4,1024.8,15.3,20.3,14.16666667,340
2005,1,15,5,8.6,1024.3,15.6,20.3,14.20833333,341
2005,1,15,6,8.6,1023.9,15.6,20.3,14.25,342
